0,Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai,2015-01-08,ODI # 3572
1,Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC),2015-01-10,ODI # 3573
2,New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch,2015-01-11,ODI # 3574
3,Ireland,Scotland,Ireland,3 wickets,Dubai (DSC),2015-01-12,ODI # 3575
4,Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi,2015-01-14,ODI # 3576
5,New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton,2015-01-15,ODI # 3577
6,Australia,England,Australia,3 wickets,Sydney,2015-01-16,ODI # 3578
7,South Africa,West Indies,South Africa,61 runs,Durban,2015-01-16,ODI # 3579
8,New Zealand,Sri Lanka,no result,-,Auckland,2015-01-17,ODI # 3580
9,Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC),2015-01-17,ODI # 3581
10,Australia,India,Australia,4 wickets,Melbourne,2015-01-18,ODI # 3582
11,South Africa,West Indies,South Africa,148 runs,Johannesburg,2015-01-18,ODI # 3583
12,Ireland,Scotland,no result,-,ICCA Dubai,2015-01-19,ODI # 3584
13,New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson,2015-01-20,ODI # 3585
14,England,India,England,9 wickets,Brisbane,2015-01-20,ODI # 3586
15,South Africa,West Indies,South Africa,9 wickets,East London,2015-01-21,ODI # 3587
16,New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin,2015-01-23,ODI # 3588
17,Australia,England,Australia,3 wickets,Hobart,2015-01-23,ODI # 3589
18,New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin,2015-01-25,ODI # 3590
19,South Africa,West Indies,West Indies,1 wicket,Gqeberha,2015-01-25,ODI # 3591
20,Australia,India,no result,-,Sydney,2015-01-26,ODI # 3592
21,South Africa,West Indies,South Africa,131 runs,Centurion,2015-01-28,ODI # 3593
22,New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington,2015-01-29,ODI # 3594
23,England,India,England,3 wickets,Perth,2015-01-30,ODI # 3595
24,New Zealand,Pakistan,New Zealand,7 wickets,Wellington,2015-01-31,ODI # 3596
25,Australia,England,Australia,112 runs,Perth,2015-02-01,ODI # 3597
26,New Zealand,Pakistan,New Zealand,119 runs,Napier,2015-02-03,ODI # 3598
27,New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,2015-02-14,ODI # 3599
28,Australia,England,Australia,111 runs,Melbourne,2015-02-14,ODI # 3600
29,South Africa,Zimbabwe,South Africa,62 runs,Hamilton,2015-02-15,ODI # 3601
30,India,Pakistan,India,76 runs,Adelaide,2015-02-15,ODI # 3602
31,Ireland,West Indies,Ireland,4 wickets,Nelson,2015-02-16,ODI # 3603
32,New Zealand,Scotland,New Zealand,3 wickets,Dunedin,2015-02-17,ODI # 3604
33,Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,2015-02-18,ODI # 3605
34,U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,2015-02-19,ODI # 3606
35,New Zealand,England,New Zealand,8 wickets,Wellington,2015-02-20,ODI # 3607
36,Pakistan,West Indies,West Indies,150 runs,Christchurch,2015-02-21,ODI # 3608
