,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,Pakistan,New Zealand,61 runs,Wellington,2018-01-06,ODI # 3946
1,New Zealand,Pakistan,New Zealand,8 wickets,Nelson,2018-01-09,ODI # 3947
2,U.A.E.,Ireland,Ireland,4 wickets,ICCA Dubai,2018-01-11,ODI # 3948
3,New Zealand,Pakistan,New Zealand,183 runs,Dunedin,2018-01-13,ODI # 3949
4,U.A.E.,Ireland,Ireland,67 runs,ICCA Dubai,2018-01-13,ODI # 3950
5,Australia,England,England,5 wickets,Melbourne,2018-01-14,ODI # 3951
6,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,2018-01-15,ODI # 3952
7,New Zealand,Pakistan,New Zealand,5 wickets,Hamilton,2018-01-16,ODI # 3953
8,Ireland,Scotland,Ireland,6 wickets,ICCA Dubai,2018-01-16,ODI # 3954
9,Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Mirpur,2018-01-17,ODI # 3955
10,Ireland,Scotland,Ireland,24 runs,ICCA Dubai,2018-01-18,ODI # 3956
11,New Zealand,Pakistan,New Zealand,15 runs,Wellington,2018-01-19,ODI # 3957
12,Australia,England,England,4 wickets,Brisbane,2018-01-19,ODI # 3958
13,Bangladesh,Sri Lanka,Bangladesh,163 runs,Mirpur,2018-01-19,ODI # 3959
14,Australia,England,England,16 runs,Sydney,2018-01-21,ODI # 3960
15,U.A.E.,Scotland,Scotland,31 runs,ICCA Dubai,2018-01-21,ODI # 3961
16,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Mirpur,2018-01-21,ODI # 3962
17,U.A.E.,Scotland,U.A.E.,4 wickets,ICCA Dubai,2018-01-23,ODI # 3963
18,Bangladesh,Zimbabwe,Bangladesh,91 runs,Mirpur,2018-01-23,ODI # 3964
19,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Mirpur,2018-01-25,ODI # 3965
20,Australia,England,Australia,3 wickets,Adelaide,2018-01-26,ODI # 3966
21,Bangladesh,Sri Lanka,Sri Lanka,79 runs,Mirpur,2018-01-27,ODI # 3967
22,Australia,England,England,12 runs,Perth,2018-01-28,ODI # 3968
23,South Africa,India,India,6 wickets,Durban,2018-02-01,ODI # 3969
24,South Africa,India,India,9 wickets,Centurion,2018-02-04,ODI # 3970
25,South Africa,India,India,124 runs,Cape Town,2018-02-07,ODI # 3971
26,Afghanistan,Zimbabwe,Afghanistan,154 runs,Sharjah,2018-02-09,ODI # 3972
27,South Africa,India,South Africa,5 wickets,Johannesburg,2018-02-10,ODI # 3973
28,Afghanistan,Zimbabwe,Zimbabwe,154 runs,Sharjah,2018-02-11,ODI # 3974
